"","Date","Close.Last","Volume","Open","High","Low"
"71",2022-12-20,5.08,22273840,4.87,5.15,4.74
"72",2022-12-19,4.89,29491370,5.23,5.32,4.78
"73",2022-12-16,5.31,29694530,5.65,5.73,5.13
"74",2022-12-15,5.6,28706460,5.6,6.0485,5.53
"75",2022-12-14,5.75,22155950,5.77,5.88,5.605
"76",2022-12-13,5.72,34932360,6.5,6.51,5.53
"77",2022-12-12,5.95,17523820,5.99,6,5.61
"78",2022-12-09,5.94,23156410,6.05,6.13,5.81
"79",2022-12-08,6.07,30496390,6.24,6.7,5.97
"80",2022-12-07,6.05,39234410,6.77,7.13,6
"81",2022-12-06,6.75,26188120,7.46,7.48,6.68
"82",2022-12-05,7.45,28313390,8.18,8.54,7.41
"83",2022-12-02,8.17,34765650,8.18,8.63,7.92
"84",2022-12-01,8.17,96708490,7.29,9.15,7.21
"85",2022-11-30,7.23,44913750,7.48,7.48,6.96
"86",2022-11-29,7.43,16317850,7.29,7.6199,7.08
"87",2022-11-28,7.33,17946440,7.44,7.44,7.12
"88",2022-11-25,7.51,8287640,7.66,7.74,7.5
"89",2022-11-23,7.64,37508980,7.35,7.985,7.28
"90",2022-11-22,7.32,14591930,7.21,7.509,7.07
"91",2022-11-21,7.27,16892680,7.3,7.56,7.05
"92",2022-11-18,7.59,21572070,7.53,7.84,7.34
"93",2022-11-17,7.39,17120010,7.29,7.42,7.1
"94",2022-11-16,7.53,29929690,7.74,7.8,7.16
"95",2022-11-15,7.95,44349830,7.83,8.19,7.46
"96",2022-11-14,7.34,53083900,8.02,8.35,7.29
"97",2022-11-11,7.2,43822310,6.01,7.28,5.93
"98",2022-11-10,6.13,40052500,5.5,6.27,5.35
"99",2022-11-09,5.19,25711190,5.37,5.39,5.05
"100",2022-11-08,5.62,27189760,5.38,5.62,5.3
"101",2022-11-07,5.33,20037860,5.56,5.6071,5.17
"102",2022-11-04,5.65,18134590,5.83,5.85,5.42
"103",2022-11-03,5.7,16543180,5.75,5.85,5.58
"104",2022-11-02,5.81,22112780,6.26,6.33,5.79
"105",2022-11-01,6.15,21354270,6.76,6.8508,6.13
"106",2022-10-31,6.66,34859090,6.82,7.25,6.54
"107",2022-10-28,6.51,15668600,6.55,6.7,6.36
"108",2022-10-27,6.51,13873260,6.83,6.93,6.485
"109",2022-10-26,6.64,22250680,6.54,7.11,6.5
"110",2022-10-25,6.75,26798230,6.3,6.995,6.27
"111",2022-10-24,6.36,14363070,6.46,6.55,6.2
"112",2022-10-21,6.49,14944370,6.35,6.57,6.22
"113",2022-10-20,6.35,17309440,6.2,6.58,6.1301
"114",2022-10-19,6.11,13666140,6.41,6.5,6.05
"115",2022-10-18,6.51,22041380,6.6,6.8,6.37
"116",2022-10-17,6.36,18580730,6.18,6.48,6.0915
"117",2022-10-14,6,21968250,6.21,6.3497,5.945
"118",2022-10-13,6.04,29565490,5.63,6.275,5.47
"119",2022-10-12,5.85,32491820,6.12,6.24,5.62
"120",2022-10-11,6.12,22621460,6.4,6.48,6.07
"121",2022-10-10,6.35,23392670,6.46,6.93,6.27
"122",2022-10-07,6.53,23436240,7.1,7.1,6.4
"123",2022-10-06,7.12,19345650,7.38,7.62,7.12
"124",2022-10-05,7.33,22699680,7.55,7.55,7.04
"125",2022-10-04,7.83,42548250,6.98,8.13,6.97
"126",2022-10-03,6.88,21499910,6.84,6.95,6.61
"127",2022-09-30,6.97,16557020,6.97,7.28,6.82
"128",2022-09-29,7.1,22501990,7.46,7.61,6.9
"129",2022-09-28,7.67,24459510,7.3,7.71,7.11
"130",2022-09-27,7.45,33360100,7.16,7.52,6.98
"131",2022-09-26,6.83,43284750,7.65,7.97,6.81
"132",2022-09-23,7.99,19910110,7.72,8.14,7.65
"133",2022-09-22,7.85,26927270,8.62,8.66,7.73
"134",2022-09-21,8.6,20213350,8.73,8.96,8.46
